C(3p1-3p0) 492.1607 green
C(3p2-3p1) 809.34197000 green
H2O(1,1,0-1,0,1) 556.93598770 blue
H2O(2,1,1-2,0,2) 752.03314300 blue
H2O(2,0,2-1,1,1) 987.92675900 blue
H2O(5,2,4-4,3,1) 970.31504500 blue
H2O(4,2,2-3,3,1) 916.17158000 blue
H2O(4,2,3-3,3,0) 448.00107750 blue
H2O(4,1,4-3,2,1) 380.19735980 blue
H2O(5,3,2-4,4,1) 620.70095490 blue
H2O(5,3,3-4,4,0) 474.68910800 blue
H2O(5,1,5-4,2,2) 325.15289900 blue
H2O(3,1,3-2,2,0) 183.31008700 blue
H2O(6,4,3-5,5,0) 439.15079480 blue
